provider_name,provider_type,address,emirate
Emirates Hospital,Hospital,"Opp. Jumeirah Beach Park Jumeirah Beach Road Jbr,Bur Dubai",Dubai
Emirates Speciality Hospital,Hospital,Dhcc Opp-Al Razi Medical Complexal Dubai Health Care City,Dubai
Hatta Hospital (DHA),Hospital,Hatta City Center New Sha'Biah Hatta,Dubai
International Modern Hospital (Imh),Hospital,Opposite Emirates Petrol Stn N Sheik Rashid Street Sheik Rashid Street,Dubai
"Kings College Hospital London,Mc",Hospital,Al Marabea Street Al Khail Road Dubai Hills,Dubai
Latifa Hospital(Al Waselhospital)(DHA),Hospital,Oud Metha Oud Metha Rd Al Jadaf,Dubai
Medcare Hospital,Hospital,"Opp Safa Park Gate No. 1 Hadiqa Street Safa 1,Jumeirah",Dubai
Medcare Orthopaedics & Spine Hospital,Hospital,Opp. Pepsi Sheikh Zayed Road Sheikh Zayed Road,Dubai
Medcare Women & Children Hospital,Hospital,"Noor Islamic Bank Stn Next To Al Manara Al Safa 2, Jumeirah",Dubai
"Medeor 24X7 Hospital Llc,Dxb (VPS)",Hospital,Burjuman Center Embassy District Umm Hurair - 1,Dubai
Mediclinic City Hospital,Hospital,"Building, 37 Oud Metha Road Dhcc",Dubai
Mediclinic Parkview Hospital Llc,Hospital,Mediclinic Parkview Bldg. Al Barsha South Al Barsha 3,Dubai
Mediclinic Welcare Hospital,Hospital,Welcare Hospital Nr.Indian Hig Sheik Rashid Street Garhood,Dubai
Neuro Spinal Hospital,Hospital,"Neuro Spinal Building,Opp Jume Jumairah Beach Road Jumeirah 2",Dubai
Nmc Hospital - Dubai Investment Park Br,Hospital,Sheikh Zayed Rd Green Village Community Dubai Investment Park - 1,Dubai
Nmc Specialty Hospital - Dubai(NMC),Hospital,Behind Al Mulla Plaza Nahda 7 A Street Nahda,Dubai
Prime Hospital Llc -Prime Group,Hospital,Dubai Airport Rd Casablanca St Al Garhoud,Dubai
Rashid Hospital (DHA),Hospital,Near Dubai Court Greek Park Oud Metha,Dubai
Saudi German Hospital,Hospital,"331,Off Exit 36 3,Opp American Hessa Street Barsha",Dubai
Thumbay Hospital Llc (Gmc Hosp) ( IP only for Covid 19 cases),Hospital,"Near Lulu Hypermarket 13 Street, Al Qusais 1 Dubai",Dubai
Valiant Healthcare Llc,Hospital,13Th Street City Walk Al Wasl Area,Dubai
Al Sharq Hospital,Hospital,Al Fassel Road  ,Fujairah
Thumbay Hospital Llc - Fuj Branch,Hospital,Salah Shama Wedding Hall Next Sheikh Zayed Bin Sultan Road Sheikh Zayed Bin Sultan Road,Fujairah
Al Oraibi Hospital,Hospital,Hospital Building Muntaser Street Nakheel,Ras Al Khaimah
Al Zahrawi Hospital,Hospital,"Ground Floor, Gulf Concrete Bu Rams Road Seer",Ras Al Khaimah
Ras Al Khaimah Hospital,Hospital,Al Qusaidat  Juwais,Ras Al Khaimah
Al Zahra Pvt Hospital (Zahra Shj),Hospital,"Opp. Clock Tower, Zahra Square Arabian Gulf Street Al Ghuwair",Sharjah
Burjeel Specialty Hospital Llc,Hospital,Opp Lulu Hyper Market Al Fayha Sharjah,Sharjah
Central Private Hospital,Hospital,"Clock Tower, Zahra Square, Nea Sheikh Zayed Street Maysaloon",Sharjah
Emirates European Hospital Llc,Hospital,Gto5Thfloor Al Sharj Street Al Qulaya Area,Sharjah
Medcare Hospital Llc - Shj Br,Hospital,Splash Fashion Outlet  King Faisal Street,Sharjah
Saudi German Hospital Sharjah,Hospital,Oppalqudsmosque Intersection Al Qulayaa,Sharjah
Sheikh Khalifa General Hospital,Hospital,Opp.Ministry Of Social Affairs Al Salama Street Umm Al Quwain,Umm Al Quwain
Advanced Center For Day Care Surgery,Day Care,Jasmine Tower Near Rak Bank Abu Dhabu Airport Road,Abu Dhabi
Al Hosn One Day Surgery Center (Al Hosn),Day Care,"Mezzanine Floor, Obaid Gaber B Nasr Street Khalidiya",Abu Dhabi
Al Mazroui Med Med Ctr Day Surgery,Day Care,"Next To Nissan Showroom, Oppos Najda Street, Passport Road Najda Street",Abu Dhabi
Burjeel Medical Center Al Shamkha -Vps,Day Care,1St Flr Makani Mall Al Shamkha Abu Dhabi,Abu Dhabi
Burjeel Medical Centre (VPS),Day Care,"Ground Flr, Deerfields Mall Dubai-Abu Dhabi Highway Al Bahiya",Abu Dhabi
Cosmesurge & Emirates Hospital - Auh,Day Care,"St.13, Delma & Karama Intersec Opp Public Works Dept. Delma & Karama Intersection",Abu Dhabi
Dar Al Shifaa Day Care Surgery Llc,Day Care,Dalma Mall Musaffah Abu Dhabi,Abu Dhabi
Harley Street Medical Centre,Day Care,Marina Mall 18Th Street Break Water Corniche Street,Abu Dhabi
Health Shield Medical Center,Day Care,Opp. The Main Fountain Corniche Road Corniche Road,Abu Dhabi
Healthline Day Care Surgery L.L.C.,Day Care,26Th Street Baniyas East 11 Baniyas,Abu Dhabi
Heart Beat Mc & One Day Surg(Consultant),Day Care,"Mrs.Mariam Khalifa Al Yousef 5+6/Plot 103, Airport Rd Mushrif, W9",Abu Dhabi
Magrhabi Eye & Ear Center (Daycare Surg),Day Care,"F-4,Al-Nakheel Tower,Sanaa B Baniyas Street Baniyas Street",Abu Dhabi
Magrhabi Eye & Ear Center Branch,Day Care,Khaleej Arabi Street Khaleej Arabi Street Mushrif,Abu Dhabi
Marina Health Promotion Center Llc(VPS),Day Care,Marina Mall Next To Mercedes Showroom Marina,Abu Dhabi
Medical Park Consultants One Day Surgery,Day Care,"140 W11 Beside Bnp Paribas Al Bateen St., Al Falah St., Khalidiya",Abu Dhabi
Prince Medical Centr Oneday Surgery(VPS),Day Care,Bakhit Al Mansouri Bldg Fatima Bint Mubarak Sts Hazza Bin Zayed Sts Al Dhafra,Abu Dhabi
Unique Alahalia Ophthalmology One Day Su,Day Care,Delma Street  Airport Road,Abu Dhabi
Wellness One Day Surgery Centre Llc,Day Care,"Building111,Dihan Street Near Sheikhkhalifaarabpakschl Muroor",Abu Dhabi
Magrabi Eye Center Al Ain,Day Care,Magrabi Eye Center Bldg Airport Road Almarkhanya,Al Ain
Advanced Care Oncology Center Llc,Day Care,Al Furjan Jebal Ali Jebal Ali1,Dubai
Al Mousa Day Surgery Center,Day Care,"Villa 34 , Near Iranian Hospit 5 B Street Wasl Street,Bur Dubai",Dubai
Armada One Day Surgical Center Jlt,Day Care,"Armada Tower 2 Opp Dubai Marina Mall Al Sarayat, Jlt",Dubai
Aster Day Surgery Centre,Day Care,"Al Raffa, Kuwait Street Kuwait Street Bur Dubai",Dubai
Dr Ismail Day Surgical Centre,Day Care,"41 A Street,  Karama",Dubai
Dr. Rami Hamed Center Fz Llc,Day Care,# 52 (Al Biruni) Near Dr Sulaiman Al Habib Hosp Dubai Healthcare City,Dubai
Emirates Hospital Day Surgery & Medical,Day Care,Honsho Street Opp. To Dubai Kartdrome Motor City,Dubai
Health Hub-Al Qusais 1,Day Care,Manazel Deira Bldg. Gf Next To Fortune Hotel Al Quisais 1,Dubai
Magrabi Eye Hospital - Outpatient Surgei,Day Care,"Al Razi Building, # 64 Block E Oud Metha Road Dhcc",Dubai
Medcare Eye Centre,Day Care,"103, Matloob Building Next To Mosh Hospital Shk Zayed Road",Dubai
Medcare Med Centre Jumeirah-Daysurg,Day Care,"Umm Suqeim 1, G Floor Jumeirah Beach Road Umm Suqeim 1",Dubai
Mediclinic Deira Clinic,Day Care,"Deira City Centre Gnd &3Rd Flr Citycentre Office Near Pullman Hotel, Deira",Dubai
North American Lasik And Eye Surgery Cen,Day Care,"Villa No :1 Near To Iranian Hospital Al Wasl Road,Jumeira 1",Dubai
Professor Sakla Spanish Eye Clinic L.L.C,Day Care,Office No. 119 Sheikh Zayed Street Umm Alsheif,Dubai
Al Saha Wa Al Shifa One Day Surgery Hospital,Day Care,"Office # 307, 3Rd Floor Rolla Mall, Al Arouba Street ",Sharjah
Dar Al Oyoun Hospital For One Day Surger,Day Care,Buhaira Corniche Al Majaz Al Majaz,Sharjah
Enjab Hospital For Fertility & Day Care,Day Care,"Al Durrah Building, 6Th Floor, Corniche Street Buhaira Corniche Road",Sharjah
Oriana Hospital One Day Surgical,Day Care,Manazil Tower2 Building Al Taawun Street Al Taawun,Sharjah
Thumbay Hospital Daycare - Muwailah 1,Day Care,Universitycityroad  Muweilah,Sharjah
W. Wilson Specialized Hospital,Day Care,"Al Burj Building , 1St Floor, Al Taawun Street Al Taawun",Sharjah
Abu Al Abyad Island Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Western Region Western Region Western Region,Abu Dhabi
Abu Dhabi Airport Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Abu Dhabi Airport Abu Dhabi Airport Abu Dhabi Airport,Abu Dhabi
Abu Dhabi Blood Bank,Clinic,Budhabi Seha Abudhabi,Abu Dhabi
Abu Dhabi Marine Operating Company Clini,Clinic,Das Island  Das Island,Abu Dhabi
Abu Dhabi Medical Centre,Clinic,Old Passport Rd,Abu Dhabi
Abu Dhabi Mobile Blood Donor Unit 1,Clinic,Abudhabi Abudhabi Seha,Abu Dhabi
Adco Medical Centre,Clinic,Adco Compound  ,Abu Dhabi
Adnoc Technicial Institute Clinic-Ati,Clinic,Al Shawamekh Near Schlumberge Abudhabi,Abu Dhabi
Advance Cure Diagnostic Center Llc - Br2,Clinic,Back Side Of Adnoc Patrol Stat Al Bateen Street Abu Dhabi City,Abu Dhabi
Advanced Cure Diagnostic Center,Clinic,"Opp Post Office, Near Al Batee 31St Street Al Bateen",Abu Dhabi
Advanced Cure Diagnostics Centre Branch1,Clinic,"Villa, Near Bnp Al Bateen, 32 St Sultan Bin Zayed",Abu Dhabi
Airport Clinic -1,Clinic,Abu Dhabi International Airport   Abu Dhabi,Abu Dhabi
Al Bateen Family Medicine Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Al Bateen Al Bateen Al Bateen,Abu Dhabi
Al Corniche Women Health Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Rawda Area Al Rawda Area Al Rawda Area,Abu Dhabi
Al Dharfa Family Medicine Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Western Region Western Region Western Region,Abu Dhabi
Al Falah Healthcare Center,Clinic,Abu Dhabi - United Arab Emirates  Auh,Abu Dhabi
Al Farhan Medical Center,Clinic,Abdullah Misbah Al Ameri Old Taxi Stand And Zenith Supe Baniyas West,Abu Dhabi
Al Fuad Medical Centre L.L.C.,Clinic,H.E. Shaikh Abdulla Bin Butti Fatima Bind Street Abudhabi City,Abu Dhabi
Al Hendawy Medical Centre,Clinic,401 Abu Dhabi Comm. Bank Build Muroor Road Elektra Street,Abu Dhabi
Al Kamal Medical Center,Clinic,"Near Sheraton Hotel ,Near Gran Electra Street Electra Street",Abu Dhabi
Al Khaleej Family Medicine Clinic-SEHA (No Dental Services On Direct Billing),Clinic,"Street # 13, Al Khaleej Al Ara Street # 13, Al Khaleej Al Ara Street # 13, Al Khaleej Al Ara",Abu Dhabi
Al Khatim Health Center-SEHA (No Dental Services On Direct Billing),Clinic,Al Khatim Al Khatim Al Khatim,Abu Dhabi
Al Khaznah Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Khaznah Al Khaznah Al Khaznah,Abu Dhabi
Al Madina Medical Center,Clinic,"5Th Floor, Ahmed Khalf Almazro Airport Road Airport Road",Abu Dhabi
Al Madina Urgent Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Western Region Western Region Western Region,Abu Dhabi
Al Mafraq Medical Centre (Al Salama),Clinic,101-104 Manif Motur Almansori Bldg Baniyas,Abu Dhabi
Al Mamoon Medical Centre,Clinic,"Villa 38, Beside Marriage Fund Sheikh Khalifa Street Oud Bin Sag-Han",Abu Dhabi
Al Manhal Family Medicine Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Madinat Zayed Area Madinat Zayed Area Madinat Zayed Area,Abu Dhabi
Al Maqtaa Family Medicine Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Maqtaa Al Maqtaa Al Maqtaa,Abu Dhabi
Al Mushrif Family Medicine Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Street #23 Street #23 Street #23,Abu Dhabi
Al Nahda Health Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Nahda Al Nahda Al Nahda,Abu Dhabi
Al Nahyan Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Delma Street Delma Street Delma Street,Abu Dhabi
Al Nasr Field Clinic(ADNOC),Clinic,Off ¿Shore  Off ¿Shore,Abu Dhabi
Al Noor Family Care Center - Almamora,Clinic,Al Mamoura Al Saad Street Mamoura/Muroor Road,Abu Dhabi
Al Noor Family Care Center - Baniyas,Clinic,Baniyas Residential Area  Baniyas,Abu Dhabi
Al Noor Hosp Spec Cls- Al Musaf(Al Noor),Clinic,"Me-10, Shabiya Bin Masjid Shab Shabiyah 10 Shabiyah 10",Abu Dhabi
Al Noor Hospital Medical Center Khalifa,Clinic,"284, Near Khalifa City Police Station, Khalifa City Abu Dhabi",Abu Dhabi
Al Noor Hospital Medical Centre-Marawah,Clinic,"Bdaa, Zaid Abu Dhabi ",Abu Dhabi
Al Qabail Medical Centre L.L.C,Clinic,Al Jimi Workers Village  Ground Floor Musaffah ,Abu Dhabi
Al Rafa Medical Centre Llc (Aster),Clinic,Ministry Of Economy Building Hamdan Street Hamdan Street,Abu Dhabi
Al Rayyan Medical Center,Clinic,Building P1291 Mussafah-Shabiyah 11 ,Abu Dhabi
Al Rowdha Clinic Family Medicine-SEHA (No Dental Services On Direct Billing),Clinic,Al Karama Street Al Karama Street Al Karama Street,Abu Dhabi
Al Salama One Day Surgery Center,Clinic,43Rd St. Baniyas East ,Abu Dhabi
Al Samha Health Center-SEHA (No Dental Services On Direct Billing),Clinic,Al Samha Al Samha Al Samha,Abu Dhabi
Al Shamkha Healthcare Center-SEHA (No Dental Services On Direct Billing),Clinic,Al Shamkah  ,Abu Dhabi
Al Wahda Medical Center,Clinic,Maryam Pharmacy Building Hazaa Bin Zayed Streetdefence Defence Road,Abu Dhabi
Al Zafaranah Family Medicine Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Al Karama Street Al Karama Street Al Karama Street,Abu Dhabi
Al-Mushrif Clinic-SEHA (No Dental Services On Direct Billing),Clinic,Al Mushrif Children'S Spec Ctr  Mushrif,Abu Dhabi
Alnoor Hosp Spec Clns - Mad Zyd(Al Noor),Clinic,Madinat Zaed Street Al Dhafra St. Near Al Dhafra Sport Club,Abu Dhabi
Alpha Medical Center,Clinic,"Al Firdous Center, Ground Floor,Sanayya M3 17Th Street Saniaya Mussafah",Abu Dhabi
Alqatia Island Clinic (Sarab North),Clinic,Das Island  Das Island,Abu Dhabi
Altamayz Medical Centre,Clinic,Bldg No. 40 Near Lulu Hypermarket Baniyas East 8,Abu Dhabi
Ambulatory Health Services -SEHA (No Dental Services On Direct Billing),Clinic,.  ,Abu Dhabi
American Center For Psychiatry & Neuro,Clinic,Khalidiya Area Next To Khalidiya Mall Khalidiya St,Abu Dhabi
Arabian Island Medical Centre,Clinic,"Mussafah Shabiya Khalifa  Mussafah, Maroor Road",Abu Dhabi
Arzanah Clinic,Clinic,"Umm Al Nar, Near Al Maqta Brid Abu Dhabi",Abu Dhabi
Asab Clinic (ADNOC) Y-253,Clinic,Asab Adco Site Asab Street Asab Street,Abu Dhabi
Asab Dental Clinic,Clinic,Onshore  Onshore,Abu Dhabi
Aster Primary Care L.L.C.(Aster),Clinic,Nearby Emirates Driving School Sannayah Street Sanaeyah,Abu Dhabi
Bab Al Madina Medical Centre,Clinic,"Ground Flr,  Moosa Al Ajban Building Mussafah 26",Abu Dhabi
Baniyas Ahalia Med Ctr (Ahalia Group),Clinic,Opp Baniyas Kabaratnear Dar Al Abu Dhabi-Ain Road Abu Dhabi- Al Ain Road,Abu Dhabi
Baniyas Health Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Baniyas Baniyas Baniyas,Abu Dhabi
Bayti Home Healthcare Llc,Clinic,Amana Building Opposite Abu Dhabi Municipalit Al Salam Street,Abu Dhabi
Bida Mutawa Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Western Region Western Region Western Region,Abu Dhabi
Blood Donation Mobile Clinic 1 ,Clinic,Zayed The 1St Street   Electra Road,Abu Dhabi
Blue Ocean Medical Center,Clinic,Hamed Ghanim Bin Hamoodah Buil Opp Karam Alarab Rest Mussaffah,Abu Dhabi
British Neurology Psychiatry Center Llc,Clinic,Villa 2 Opp-Mercbenz Sr Airport Road,Abu Dhabi
Bu Sikeen Island Clinic (Sarab South),Clinic,Das Island  Das Island,Abu Dhabi
Buhasa Clinic (ADNOC) Y-252,Clinic,Buhasa  Buhasa,Abu Dhabi
Burjeel Day Surgery Center L.L.C,Clinic,Al Reem Island Al Reem Island Al Reem Island,Abu Dhabi
Burjeel Oasis Medical Centre L.L.C,Clinic,"Block B, Al Dhafra Club Bldg Madina Zayed St Al Dhafra Area, Madina Zayed",Abu Dhabi
Canadian Medical Center Llc,Clinic,Beside Universal Hospital Delma St Airport Rd,Abu Dhabi
Care Point Clinic,Clinic,Aljabercompex Mafraq Workers City 1 Baniyas West,Abu Dhabi
Care Well Medical Center Llc,Clinic,207 National Cinema Building Najda Street Najda Street,Abu Dhabi
Care Well Modern Medical Centre,Clinic,Beside Rainbow Supermarket Sanaya Sanaya,Abu Dhabi
Central Island Clinic,Clinic,Central Island Clinic  Central Island Clinic,Abu Dhabi
Consultants Medical Centre Excl.Ent&Card,Clinic,Landmark Plaza Building Hamdan Street Hamdan Street,Abu Dhabi
Daar Al Misbah Medical Center,Clinic,"Building No 1, Plot 20., 1St Floor, Near Bangali Mosque 12Th Street  Musaffah Sanaiya",Abu Dhabi
Dabbiya Clinic (ADNOC) Y-255,Clinic,Al Dabbiya Abt 50 Kms Frm Abu Dabbiya Dabbiya,Abu Dhabi
Dana Medical Center Llc,Clinic,Shakboot City Flat No / Floor No: 1 Shakboot,Abu Dhabi
Danat Al Emarat Clinic For Women & Child,Clinic,Al Bateen  Abu Dhabi,Abu Dhabi
Dar Al Shifa Medical C (Auh)(Aster),Clinic,"Tourist Club Area, Office # 13 Electra Street Electra Street",Abu Dhabi
Delma Medical Center,Clinic,"Villa No. 71, Beside Al Khazna Insurance/ Opposite Trans-Ad Office, Delma Street  Al Nahyan Camp",Abu Dhabi
Disease Prevention & Screening Ctr-SEHA,Clinic,Sweihan  ,Abu Dhabi
Disease Prevention & Screening Ctr-SEHA,Clinic,Gaithy  ,Abu Dhabi
Disease Prevention & Screening Ctr-SEHA,Clinic,Delma  ,Abu Dhabi
Disease Prevention & Screening Ctr-SEHA,Clinic,Sila  ,Abu Dhabi
Disease Prevention & Screening Ctr-SEHA,Clinic,Mussafah  ,Abu Dhabi
Disease Prevention & Screening Ctr-SEHA,Clinic,Near Al Gharbia Hospital Admin Near Al Gharbia Hospital Admin Near Al Gharbia Hospital Admin,Abu Dhabi
Disease Prevention & Screening Ctr-SEHA,Clinic,Al Marfa  ,Abu Dhabi
Disease Prevention And Screening Center-,Clinic,Seha Seha Seha,Abu Dhabi
Disease Prevention Screening Ctr-SEHA,Clinic,Screening Center- Abu Dhabi Screening Center- Abu Dhabi Screening Center- Abu Dhabi,Abu Dhabi
Dr Rashed Al Shaeel Medical Center L.L.C,Clinic,Villa No 2  Al Fursan Village,Abu Dhabi
Dr. Ahmed Abu Sharia Medical Center,Clinic,Opposite Blood Bank 26Th Street Khalidiya,Abu Dhabi
